rentabilidad óptima,riesgo asociado,composicion de portafolio
0.12960000000000002,0.16383406239240972,"[0.02, 0.23, 0.0, 0.75]"
0.1295,0.16360382788920314,"[0.025, 0.225, 0.0, 0.75]"
0.12960000000000002,0.1633745696245288,"[0.0, 0.255, 0.005, 0.74]"
0.12940000000000002,0.16314629171390935,"[0.02, 0.23500000000000001, 0.0, 0.745]"
0.1295,0.16291899827828554,"[0.005, 0.255, 0.0, 0.74]"
0.12940000000000002,0.1626926934438053,"[0.01, 0.25, 0.0, 0.74]"
0.1292,0.16246738134160962,"[0.02, 0.24, 0.0, 0.74]"
0.1293,0.1622430661076152,"[0.005, 0.26, 0.0, 0.735]"
0.1292,0.16201975188229367,"[0.01, 0.255, 0.0, 0.735]"
0.129,0.16179744281044742,"[0.02, 0.245, 0.0, 0.735]"
0.12910000000000002,0.1615761430409824,"[0.005, 0.265, 0.0, 0.73]"
0.1287,0.16135585672667727,"[0.035, 0.23, 0.0, 0.735]"
0.12880000000000003,0.16113658802394942,"[0.02, 0.25, 0.0, 0.73]"
0.12890000000000001,0.16091834109261752,"[0.005, 0.27, 0.0, 0.725]"
0.1285,0.16070112009566082,"[0.035, 0.23500000000000001, 0.0, 0.73]"
0.12860000000000002,0.16048492919897495,"[0.02, 0.255, 0.0, 0.725]"
0.1287,0.1602697725711246,"[0.005, 0.275, 0.0, 0.72]"
0.1285,0.16005565438309263,"[0.005, 0.275, 0.005, 0.715]"
0.12840000000000001,0.159842578808026,"[0.02, 0.26, 0.0, 0.72]"
0.1285,0.15963055002097815,"[0.005, 0.28, 0.0, 0.715]"
0.1283,0.1594195721986482,"[0.005, 0.28, 0.005, 0.71]"
0.1282,0.15920964951911676,"[0.02, 0.265, 0.0, 0.715]"
0.1283,0.15900078616157845,"[0.005, 0.28500000000000003, 0.0, 0.71]"
0.1282,0.15879298630607083,"[0.01, 0.28, 0.0, 0.71]"
0.128,0.15858625413320035,"[0.02, 0.27, 0.0, 0.71]"
0.12810000000000002,0.15838059382386468,"[0.005, 0.29, 0.0, 0.705]"
0.128,0.15817600955897199,"[0.01, 0.28500000000000003, 0.0, 0.705]"
0.12780000000000002,0.15797250551915673,"[0.01, 0.28500000000000003, 0.005, 0.7000000000000001]"
0.1279,0.15777008588449207,"[0.005, 0.295, 0.0, 0.7000000000000001]"
0.12780000000000002,0.15756875483419927,"[0.01, 0.29, 0.0, 0.7000000000000001]"
0.12770000000000004,0.15736851654635373,"[0.015, 0.28500000000000003, 0.0, 0.7000000000000001]"
0.12780000000000002,0.1571693751975874,"[0.0, 0.305, 0.0, 0.6950000000000001]"
0.12760000000000002,0.15697133496278867,"[0.01, 0.295, 0.0, 0.6950000000000001]"
0.12750000000000003,0.15677440001479834,"[0.005, 0.3, 0.005, 0.6900000000000001]"
0.12760000000000002,0.15657857452410276,"[0.0, 0.31, 0.0, 0.6900000000000001]"
0.12750000000000003,0.1563838626585237,"[0.005, 0.305, 0.0, 0.6900000000000001]"
0.12730000000000002,0.156190268582905,"[0.015, 0.295, 0.0, 0.6900000000000001]"
